iter	TotalF1	MultiClass
0	0.9522756387	1.011150036
1	0.9710330459	0.9350752289
2	0.9723111659	0.86622365
3	0.9734145508	0.8065469416
4	0.9867419507	0.7514097929
5	0.973453845	0.7041332325
6	0.9801462568	0.6598144075
7	0.9799876464	0.6204464539
8	0.9754348782	0.5880993732
9	0.9799841877	0.5539708006
10	0.9800370526	0.5217740675
11	0.9800899168	0.4932554812
12	0.9805128046	0.4656079765
13	0.980354227	0.4400263666
14	0.9813055983	0.4158760012
15	0.9816791569	0.3953051136
16	0.987379309	0.373384102
17	0.9898956629	0.3545223956
18	0.9897499567	0.3356478531
19	0.9899082393	0.3192125928
20	0.9894861456	0.3024393282
21	0.9899082393	0.2885566464
22	0.9899082393	0.2755282
23	0.9899082393	0.262503134
24	0.9898027179	0.2497139573
25	0.990066519	0.2380810387
26	0.9901192782	0.2273306179
27	0.9899082393	0.2166151905
28	0.9902247957	0.2069047233
29	0.9915436622	0.1977560407
30	0.9905413407	0.1890338412
31	0.9901720371	0.1813050668
32	0.9914381595	0.1737369568
33	0.9915964131	0.1665571642
34	0.9915436622	0.15934668
35	0.9916491638	0.1528436406
36	0.9923348994	0.1463294277
37	0.99207116	0.140313399
38	0.9921239084	0.1348592483
39	0.9921239084	0.1302797155
40	0.9924931402	0.1256153756
41	0.9917019143	0.1207945202
42	0.9921239084	0.1168926314
43	0.991860164	0.1128266512
44	0.9917019143	0.1088971111
45	0.9919129133	0.1050569168
46	0.9919129133	0.1013144857
47	0.9919129133	0.09736790979
48	0.9919129133	0.09419729888
