iter	Passed	Remaining
0	159	79788
1	165	41121
2	170	28309
3	175	21787
4	180	17852
5	184	15227
6	189	13338
7	193	11920
8	198	10832
9	202	9943
10	207	9206
11	211	8593
12	216	8097
13	220	7657
14	225	7278
15	229	6930
16	233	6634
17	237	6360
18	241	6120
19	246	5921
20	250	5724
21	255	5544
22	259	5377
23	264	5236
24	268	5097
25	272	4966
26	276	4850
27	281	4747
28	285	4637
29	289	4537
30	293	4444
31	297	4355
32	301	4269
33	305	4192
34	311	4132
35	315	4067
36	320	4011
37	325	3962
38	331	3918
39	335	3863
40	340	3812
41	345	3766
42	349	3712
43	353	3663
44	357	3618
45	361	3572
46	366	3528
47	370	3486
48	375	3456
