normalized_number,name,category,source,city,url,source_confidence
+73432115574,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73432115575,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73432115576,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73432115578,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73432131991,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73432636918,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73432870220,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73432887556,Таков путь в Банковском переулке,bank,zoon,ekb,https://zoon.ru/ekb/entertainment/,0.70
+73433020752,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73433020757,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73433280160,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73433561860,"Банки в Екатеринбурге - адреса, телефоны и отзывы",bank,spravker,ekb,https://ekaterinburg.spravker.ru/banki/,0.70
+73439330080,Стоматологическая клиника Альфа Бета в Академическом районе,bank,zoon,ekb,https://zoon.ru/ekb/medical/,0.70
+73472269786,"Банки в Уфе - адреса, телефоны и отзывы",bank,spravker,ufa,https://ufa.spravker.ru/banki/,0.70
+73472461629,"Банки в Уфе - адреса, телефоны и отзывы",bank,spravker,ufa,https://ufa.spravker.ru/banki/,0.70
+73472464776,"Банки в Уфе - адреса, телефоны и отзывы",bank,spravker,ufa,https://ufa.spravker.ru/banki/,0.70
