normalized_number,name,category
+74957754747,Сбербанк,bank
+78005553535,Сбербанк,bank
+78007002000,Сбербанк Премьер,bank
+78007009970,Сбербанк Бизнес,bank
+79037672233,Сбербанк SMS,bank
+79163100000,Сбербанк SMS,bank
+78007009567,Сбербанк,bank
+78007008006,ВТБ,bank
+78001002424,ВТБ,bank
+74957777777,ВТБ Москва,bank
+78002002326,ВТБ,bank
+78002003477,Тинькофф,bank
+74957711111,Тинькофф,bank
+78007552550,Тинькофф,bank
+78002005075,Альфа-Банк,bank
+74956264444,Альфа-Банк,bank
+78002000000,Альфа-Банк,bank
+78007007535,Райффайзенбанк,bank
+74957777772,Райффайзенбанк,bank
+78007006003,Газпромбанк,bank
+74957950505,Газпромбанк,bank
+78001004700,Открытие,bank
+78007007858,Совкомбанк,bank
+78103003003,Совкомбанк,bank
+78002223500,Совкомбанк,bank
+78007001412,Хоум Кредит,bank
+74957144444,Хоум Кредит,bank
+78007008070,ОТП Банк,bank
+74957999090,ОТП Банк,bank
+78002003000,УБРиР,bank
+78007004004,Ренессанс Кредит,bank
+74956444444,МТС Банк,bank
+78002500890,МТС Банк,bank
+78007009100,Восточный,bank
+74957888888,Россельхозбанк,bank
+78002508025,Россельхозбанк,bank
+78003002000,Росбанк,bank
+74957976767,Росбанк,bank
+78005552550,Почта Банк,bank
+74956262424,Почта Банк,bank
+78002001292,ВТБ24,bank
+74952409112,МКБ,bank
+78007004444,Кредит Европа Банк,bank
+74957953333,Кредит Европа Банк,bank
+78002005333,Промсвязьбанк,bank
+74957770000,Промсвязьбанк,bank
+78007008888,Бинбанк,bank
+74957788888,Бинбанк,bank
+78007003030,Абсолют Банк,bank
+74957755500,Абсолют Банк,bank
+78007007010,ЮниКредит Банк,bank
+74957710000,ЮниКредит Банк,bank
+78007007777,Дельтакредит,bank
+74957755557,Ситибанк,bank
+78007008980,Ситибанк,bank
+78007004591,Кредит Москва,bank
+78007007700,МИБ,bank
+74957755555,МИБ,bank
+78007007070,Локо-Банк,bank
+74957777788,Локо-Банк,bank
+78007004141,Металлинвестбанк,bank
+78007005555,Еврофинанс Моснарбанк,bank
+78007001111,Росевробанк,bank
+78007008080,Банк Зенит,bank
+74957777711,Банк Зенит,bank
+78007006060,Банк Санкт-Петербург,bank
+78123300505,Банк Санкт-Петербург,bank
+78007005050,Транскапиталбанк,bank
+78007004040,Агропромкредит,bank
+78007002020,Банк Интеза,bank
+78007009090,Кузнецкий Банк,bank
+78007006666,Национальный Стандарт,bank
+78007004440,Таврический Банк,bank
+78007003333,Нейва,bank
+78007001717,Снежинский Банк,bank
+78007001515,Дальневосточный Банк,bank
+78007001313,Челябинвестбанк,bank
+78007001212,АТБ,bank
+78007001616,Сургутнефтегазбанк,bank
+78007001818,Запсибкомбанк,bank
+78007001919,Банк Хакасии,bank
+78007002121,Банк Ермак,bank
+78007002222,Банк Оренбург,bank
+78007002323,ИТ Банк,bank
+78007002525,Банк Казани,bank
+78007002626,Саровбизнесбанк,bank
+78007002727,Новикомбанк,bank
+78007002828,Банк Кузнецкий,bank
+78007002929,Банк Вологжанин,bank
+78007003131,Банк Славия,bank
+78007003232,Банк Века,bank
+78007003434,Банк Резерв,bank
+78007003535,Банк Сибирь,bank
+78007003636,Банк СДМ,bank
+78007003737,Банк Норвик,bank
+78007003838,Банк Аверс,bank
+78007003939,Банк Образование,bank
+74956444444,МТС поддержка,support
+78003330890,МТС,support
+78002500890,МТС,support
+74957975858,Билайн поддержка,support
+78007000611,Билайн,support
+78007000838,Билайн,support
+74956361111,МегаФон поддержка,support
+78005500500,МегаФон,support
+78005500501,МегаФон,support
+78127008000,МегаФон СПб,support
+78005550611,Теле2,support
+74957274000,Ростелеком,support
